id,column_2,column_3,time_stamps,comment_text_chinese,comment_text_english
147496833,147496833,,"0.709,1,25,16777215,1580871195,1,ab563115,28169480861908992",首页通知书,Homepage Notice
147496833,,,"0.446,1,25,16777215,1580878977,1,f4deab55,28173560592728064",谢谢有被笑到,Thank you for being laughed
147496833,,,"0.941,5,25,15138834,1580910876,1,90915b15,28190285042810880",欢       迎       回       来,Welcome back
147496833,,,"0.717,1,25,16777215,1580912720,1,100dbcdb,28191251775356928",不笑挑战,Not to laugh
147496833,,,"0.281,1,25,14811775,1580925274,1,d6908c71,28197833902391300",天               籁                之                 音,Sound of heaven
147496833,,,"0.611,1,25,16777215,1580968656,1,21014b5d,28220578498347008",开口就鸡皮疙瘩起了一身。。。,I opened the goosebumps.EssenceEssence
147496833,,,"0.639,5,25,8700107,1580994538,1,ea054f42,28234147749691394",最后亿遍,In the last 100 million times
147496833,,,"0.289,1,25,16777215,1581073480,1,7f7e021b,28275536281206784",开口跪,Kneel
147496833,,,"0.264,5,25,15138834,1581164517,1,b845bd43,28323266001108994",每天一遍 防止抑郁,Prevent depression once a day
147496833,,,"0.516,5,25,15138834,1581171537,1,3b25a653,28326946587279364",断          气           唱             法,Qi singing method
147496833,,,"0.386,1,25,41194,1581305711,8,2e408863,28397292108120068",灵魂歌手世界级演唱，哎呦你很不错,"Soul singer world -class singing, oh you are very good"
147496833,,,"0.126,5,25,16707842,1581402673,11,b6f0afec,28448128416874496",复      古      花      腔,Retro
147496833,,,"0.703,1,25,16777215,1581865602,1,1639de15,28690836194590722",五遍了 上头哈哈哈,"Five times, hahaha"
147496833,,,"0.402,5,25,15138834,1582341559,1,98ed1601,28940374685777920",开屏毯人,Open -screen blanketman
147496833,,,"0.062,1,25,16777215,1582862601,1,266fa9d9,29213551026503683",开口跪,Kneel
147496833,,,"0.889,1,25,16777215,1582879686,11,bf4650b2,29222508685688839",居然有25个人跟我一起看,There are 25 people watching with me
147496833,,,"0.01,1,25,16777215,1583112910,1,305e56e3,29344784751525893",开头暴击,Strike at the beginning
147496833,,,"0.118,1,25,16777215,1583298578,1,846c0158,29442128509140999",神仙唱歌了！！注意,The fairy sings!IntersectionNotice
147496833,,,"0.852,1,25,16777215,1584062370,1,25e9225e,29842575629221891",开口即死亡,Dist
147496833,,,"0.68,5,25,16777215,1586406130,1,b3c0a579,31071380614152195",梦开始的地方,Places where dreams start
147496833,,,"0.672,1,25,16707842,1586680850,1,7ed25097,31215412965277703",百万助攻,Million assists
147496833,,,"0.03,1,25,16777215,1588639546,1,83d5b9b5,32242333802037251",成名作,Fame
147496833,,,"0.923,5,25,15138834,1589480317,1,fa500a0f,32683140276813831",欢 迎 回 来,Welcome back
147496833,,,"0.573,5,25,16777215,1589772720,1,36b7406,32836443532951557",百万达成！,Million reached!
147496833,,,"0.933,5,25,15138834,1592834074,1,80e7310d,34441474432565255",友情开始的地方,Friendship place
147496833,,,"0.677,1,25,16777215,1593075758,1,ff4511ea,34568186652262471",七月九号麒麟小分队 趁没回归之前再看次,July 9th Kirin's team looked at the times before returning
147496833,,,"0.513,5,25,15138834,1598862949,1,7a8ba2f9,37602341562613767",大家！！！快跑啊！！！！！！！！！！！！！！！！！！！！！！！,Everyone!IntersectionIntersectionRun!IntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersectionIntersection
147496833,,,"0.148,1,25,16777215,1612623560,1,352300eb,44816864896352259",现在跑还来得及！,It's too late to run now!
147496833,,,"0.379,1,25,16777215,1625225750,1,4af988ae,51424041838837765",救命 开头就好鬼畜,Just be a good ghost at the beginning of life
147496833,,,"0.399,1,25,16777215,1626443556,1,2ad6c01e,52062522942947331",00:14绝美吟唱我又拉回来听了一遍,00:14 I can pull it back and listen to it again
147496833,,,"0.979,1,25,16777215,1627804499,1,492fd416,52776048791126019",哈哈哈哈哈哈哈,Ha ha ha ha ha ha ha
147496833,,,"0.41,5,25,14811775,1628469114,1,cffbde8f,53151224048640000",不要笑挑战,Don't laugh at the challenge
147496833,,,"0.659,5,25,15138834,1629117341,1,ddf0b9dd,53491081863191552",恭喜你发现了我的宝藏up主(狗头),Congratulations to you found my treasure up master (dog head)
147496833,,,"0.738,1,25,16777215,1629367063,1,6124aac9,53622007793427968",我有点害怕,I am a little scared
147496833,,,"0.359,1,25,16777215,1629606647,1,d34caa93,53747618919140352",快跑孩子们,Run the children
147496833,,,"0.739,1,25,16777215,1639746501,1,ed5f640e,59063822850932224",作为一个过来人  走吧  别回来,"As a person who come, don't come back, don't come back"
147496833,,,"0.028,1,25,6372471,1644330069,1,1125f73e,983470917017985024",大小便失禁,Incontinence
