id,column_2,column_3,time_stamps,comment_text_chinese,comment_text_english
141618029,,,"0.978,1,25,16777215,1580820010,1,d292ca2a,28142645234630660",表白红贝贝！很好听!,Confession of Hongbei!Good to hear!
141618029,,,"0.881,1,25,15138834,1581383186,9,9e61bde8,28437911573102594",恭喜你发现了宝藏!,Congratulations to you found the treasure!
141618029,,,"0.86,1,25,16777215,1581572985,1,4cb97e3,28537420583010304",破100w啦！恭喜,Break 100W!Congratulations
141618029,,,"0.698,1,25,14811775,1582245204,1,604e8e91,28889857390542850",刚在另一个up那听了神 经 病过来缓缓的,"Just in another up, I heard the God's Classic Classic slowly came slowly"
141618029,,,"0.693,1,25,16777215,1582276314,9,d016abf3,28906167508402176",46秒高能处1,46 seconds high energy place 1
141618029,,,"0.133,5,25,16707842,1582429262,11,326bedc,28986356779188226",我的宝藏up被发现了,My treasure UP was discovered
141618029,,,"0.48,5,18,15138834,1582795163,1,bdc62846,29178194194595845",恭喜你发现了一个宝藏！,Congratulations to you found a treasure!
141618029,,,"0.48,5,25,15138834,1582795180,11,bdc62846,29178202996867075",恭喜你发现了一个宝藏！,Congratulations to you found a treasure!
141618029,,,"0.48,5,18,15138834,1582795204,1,bdc62846,29178215771668487",我要这币有何用,What is the use of this currency
141618029,,,"0.824,1,25,16777215,1593089111,1,2e97e5b3,34575187559055365",开启循环,Turn on the cycle
141618029,,,"0.402,1,25,16777215,1608052677,1,3d62911d,42420405736046595",最后亿遍我就睡,I slept in the last year
141618029,,,"0.419,1,25,16777215,1637468645,1,47f51253,57869569999140352",绝了绝了绝了,Obscene
141618029,,,"0.66,1,25,16777215,1644640356,1,70690f43,986073797748383744",我又来了,I am coming again
141618029,,,"0.76,5,25,15138834,1654063981,1,232ce501,1065124888961878784",恭喜你发现宝藏,Congratulations on finding treasures
141618029,,,"0.389,1,25,16777215,1693328245,1,388f6add,1394497407991395328",单独来看其实很好，但是说作为红贝贝这首歌来填词还没达到那个效果,"It is actually very good to look at it alone, but it hasn’t achieved that effect as a song as Hong Beibei."
141618029,,,"1.512,1,25,16777215,1579248512,1,3c741d9f,27318727309524992",再来亿遍,Come again 100 million times
141618029,,,"1.698,1,25,15138834,1581383168,1,9e61bde8,28437902073004032",恭喜你发现了宝藏!,Congratulations to you found the treasure!
141618029,,,"1.827,1,25,16777215,1581414542,1,3b2c38ef,28454350798979072",·,·
141618029,,,"1.995,1,25,16777215,1581843426,1,af9fd68c,28679209997565952",网易云音乐搜田木子!有音源!,Netease Cloud Music Sou Tian Muzi! There is a sound source!
141618029,,,"1.15,1,25,16777215,1582347874,1,d959fdc6,28943685676171268",再来一遍,do it again
141618029,,,"1.696,5,25,16707842,1582609115,1,14d38cf3,29080651517919237",再来一遍,do it again
141618029,,,"1.332,1,25,16777215,1582797252,1,10a1272b,29179289045827589",130w合影！,130w group photo!
141618029,,,"1.06,1,25,16777215,1584183545,1,76b57b3d,29906106238107653",再来亿遍!!!,Come again !!!
141618029,,,"1.549,1,25,16777215,1584416915,1,3946e16,30028458993647619",再来亿遍,Come again 100 million times
141618029,,,"1.257,1,25,16777215,1585930720,1,ed60d24,30822128873373763",完爆国内填词,Filled domestic lyrics
141618029,,,"1.55,1,25,16777215,1589091763,9,206bb55f,32479425708163075",每天亿遍,100 million times a day
141618029,,,"1.899,1,25,16777215,1589249153,1,efc3f7f,32561943564255239",开口跪系列。,Kneeling in the series.
141618029,,,"1.44,4,25,14811775,1596692054,1,f87c8c97,36464167201275909",梦开始的地方,Places where dreams start
141618029,,,"1.66,1,25,16777215,1606742948,1,6628923c,41733730466267143",木子出逼曲,Muzi
141618029,,,"1.316,1,25,16777215,1624623158,1,4816d55a,51108109931249667",洗耳朵,Wash my ears
141618029,,,"1.94,1,25,16777215,1634642679,1,469e66ae,56387950127823872",再来亿遍,Come again 100 million times
141618029,,,"2.721,1,25,16777215,1578905723,9,e2918564,27139007436029956",好喜欢这首歌！！！这个改编也好棒啊啊啊,I really like this song!IntersectionIntersectionThis adaptation is also great
141618029,,,"2.217,1,25,16777215,1579587291,1,677aff7a,27496345373245440",我可以,I can
141618029,,,"2.872,1,25,16777215,1580482774,1,3dbe48c7,27965836351766530",每日亿遍,Every day
141618029,,,"2.85,1,25,16777215,1581166769,1,4a81d241,28324446863884288",再来亿遍,Come again 100 million times
141618029,,,"2.918,1,25,16777215,1581777396,1,dc8aecb6,28644590874001408",再来亿遍,Come again 100 million times
141618029,,,"2.645,1,25,16777215,1582262860,1,8db76fb3,28899113815244802",再来亿遍,Come again 100 million times
141618029,,,"2.366,1,25,16777215,1582551568,1,86e82404,29050479915302919",哈哈哈哈哈,Hahahahaha
141618029,,,"2.595,1,25,16777215,1582692443,9,488b576d,29124339386286087",从隔壁的深井冰来的,From the deep well ice next door
141618029,,,"2.978,1,25,16777215,1582731781,1,147d1982,29144963389849669",好棒！,Great!
141618029,,,"2.998,1,25,16777215,1584258292,1,2378b8a9,29945295037005829",出道吧,Let's make your debut
141618029,,,"2.345,1,25,16707842,1584852357,1,438a000d,30256756186677255",厉害了,incredible
141618029,,,"2.159,1,25,16777215,1584930732,1,e244ab36,30297847273881605",从【神经病】过来的哈哈哈,"From [Neuroral], come over hahaha"
141618029,,,"2.983,1,25,15772458,1585619938,1,75eebeb1,30659189489008645",听完了 这个真的牛逼,"After listening, this is really awesome"
141618029,,,"2.267,1,25,16777215,1586271224,1,31d520c,31000651332321285",獨享失敗,Unique failure
141618029,,,"2.103,1,25,16777215,1586535845,1,6efa86b2,31139388711763971",再来亿遍,Come again 100 million times
141618029,,,"2.479,1,25,16777215,1586685776,1,b59b5724,31217995888459779",出不去了,Can't get out
141618029,,,"2.784,1,25,16777215,1588165979,1,b80036fe,31994048352878595",欢迎回来,Welcome back
141618029,,,"2.619,1,25,16777215,1588394021,1,efc3f7f,32113608359411719",再来亿遍。,Come again.
141618029,,,"2.706,1,25,16777215,1625063990,1,69152d26,51339233016676355",看到就来！！！！,Come when you see it!IntersectionIntersectionIntersection
141618029,,,"2.34,1,25,16777215,1638329610,1,6792a624,58320963516413440",再来亿遍,Come again 100 million times
141618029,,,"2.652,1,25,16777215,1646188216,1,cd050bdf,999058186914896384",每天一遍,Once a day
141618029,,,"3.629,1,25,16777215,1579957381,1,89f93eaf,27690379155865602",哇，词写得也太好了！,"Wow, the words are well written!"
141618029,,,"3.854,1,25,16777215,1580290533,1,b43f005,27865046833430528",好好听,listen well
